"scu_id","mean_hgt_m","estimated_floor_count","mean_f2f_m","mean_f2f_m_epc"
52401019310007,4.53,1,4.5300000000000000,
52401019310008,7.16,2,3.5800000000000000,
52401019310009,8.92,3,2.9733333333333333,
52401019310013,8.49,2,4.2450000000000000,
52401019330008,5.70,2,2.8500000000000000,2.3900000000000000
52401019330040,3.30,2,1.6500000000000000,
52401019330064,5.50,2,2.7500000000000000,2.3800000000000000
52401019330069,0.89,1,0.89000000000000000000,2.4000000000000000
52401019330077,6.12,2,3.0600000000000000,
52401019330090,5.32,2,2.6600000000000000,
52401019330091,6.02,2,3.0100000000000000,2.3277777777777778
52401019330104,5.56,2,2.7800000000000000,
52401020910001,6.45,2,3.2250000000000000,
52401020910002,8.45,2,4.2250000000000000,
52401020910003,6.69,2,3.3450000000000000,
52401020910004,6.46,3,2.1533333333333333,
52401020930001,7.63,3,2.5433333333333333,
52401020930002,3.61,1,3.6100000000000000,3.9100000000000000
52401020930003,5.35,2,2.6750000000000000,2.4700000000000000
52401020930004,6.64,2,3.3200000000000000,2.5800000000000000
52401020930005,6.79,2,3.3950000000000000,2.7000000000000000
52401020930006,7.53,2,3.7650000000000000,
52401020930007,3.85,1,3.8500000000000000,2.6000000000000000
52401020930008,6.56,2,3.2800000000000000,
52401020930009,6.05,2,3.0250000000000000,
52401020930010,7.00,2,3.5000000000000000,3.2900000000000000
52401020930011,10.39,3,3.4633333333333333,2.6600000000000000
52401020930012,6.32,2,3.1600000000000000,
52401020930013,11.43,4,2.8575000000000000,2.3742857142857143
52401020930014,6.16,3,2.0533333333333333,2.3800000000000000
52401020930015,6.70,2,3.3500000000000000,
52401020930016,5.13,2,2.5650000000000000,
52401020930017,5.74,2,2.8700000000000000,2.3000000000000000
52401020930018,2.62,3,0.87333333333333333333,2.4000000000000000
52401020930019,8.14,3,2.7133333333333333,
52401020930020,6.03,2,3.0150000000000000,
52401020930021,6.58,2,3.2900000000000000,2.4000000000000000
52401020930022,5.04,1,5.0400000000000000,
52401020930023,7.07,2,3.5350000000000000,2.4600000000000000
52401020930024,6.91,2,3.4550000000000000,
52401020930025,6.80,2,3.4000000000000000,2.6800000000000000
52401020930026,5.97,2,2.9850000000000000,
52401020930027,9.77,4,2.4425000000000000,2.3781250000000000
52401020930028,5.13,2,2.5650000000000000,
52401020930029,9.04,3,3.0133333333333333,
52401020930030,4.18,1,4.1800000000000000,2.3000000000000000
52401020930031,6.06,2,3.0300000000000000,
52401020930032,6.13,2,3.0650000000000000,2.3600000000000000
52401020930033,6.13,2,3.0650000000000000,
52401020930034,4.57,2,2.2850000000000000,2.5000000000000000
52401020930035,8.46,4,2.1150000000000000,2.4000000000000000
52401020930036,9.52,3,3.1733333333333333,2.3400000000000000
52401020930037,6.07,3,2.0233333333333333,2.2960000000000000
52401020930038,6.42,2,3.2100000000000000,
52401020930039,6.03,2,3.0150000000000000,
52401020930040,3.94,1,3.9400000000000000,2.4000000000000000
52401020930041,11.95,3,3.9833333333333333,2.8057142857142857
52401020930042,2.81,1,2.8100000000000000,
52401020930043,5.23,2,2.6150000000000000,
52401020930044,8.41,3,2.8033333333333333,3.0000000000000000
52401020930045,6.39,2,3.1950000000000000,
52401020930046,5.05,2,2.5250000000000000,2.4000000000000000
52401020930047,5.92,2,2.9600000000000000,
52401020930048,5.68,2,2.8400000000000000,
52401020930049,6.16,2,3.0800000000000000,
52401020930050,3.26,1,3.2600000000000000,
52401020930051,4.93,2,2.4650000000000000,
52401020930052,6.92,2,3.4600000000000000,
52401020930053,4.80,1,4.8000000000000000,2.3000000000000000
52401020930054,6.52,2,3.2600000000000000,2.4000000000000000
52401020930055,4.99,2,2.4950000000000000,
52401020930056,6.54,2,3.2700000000000000,
52401020930057,8.01,2,4.0050000000000000,2.4100000000000000
52401020930058,7.96,4,1.9900000000000000,2.4000000000000000
52401020930059,5.51,2,2.7550000000000000,
52401020930060,10.61,3,3.5366666666666667,2.7825000000000000
52401020930061,6.35,2,3.1750000000000000,
52401020930062,6.44,2,3.2200000000000000,2.5800000000000000
52401020930063,6.40,2,3.2000000000000000,
52401020930064,7.03,2,3.5150000000000000,
52401020930065,4.29,2,2.1450000000000000,
52401020930066,6.82,2,3.4100000000000000,2.6000000000000000
52401020930067,2.55,1,2.5500000000000000,2.3800000000000000
52401020930068,9.05,3,3.0166666666666667,3.0300000000000000
52401020930069,10.26,3,3.4200000000000000,
52401020930070,10.94,3,3.6466666666666667,2.5600000000000000
52401020930071,7.90,2,3.9500000000000000,2.6175000000000000
52401020930072,6.33,2,3.1650000000000000,2.6000000000000000
52401020930073,11.60,4,2.9000000000000000,
52401020930074,4.12,1,4.1200000000000000,
52401020930075,5.82,2,2.9100000000000000,
52401020930076,5.82,2,2.9100000000000000,2.6200000000000000
52401020930077,6.29,2,3.1450000000000000,
52401020930078,6.25,2,3.1250000000000000,2.3900000000000000
52401020930079,8.41,3,2.8033333333333333,2.4000000000000000
52401020930080,6.35,2,3.1750000000000000,
52401020930081,6.20,2,3.1000000000000000,
52401020930082,5.85,2,2.9250000000000000,
52401020930083,5.26,2,2.6300000000000000,
52401021010001,11.89,0,,
52401021030001,9.22,3,3.0733333333333333,
52401021030002,8.98,3,2.9933333333333333,
52401021030003,9.10,3,3.0333333333333333,
52401021030004,8.49,3,2.8300000000000000,2.4000000000000000
52401021030005,7.14,2,3.5700000000000000,
52401021030006,6.22,2,3.1100000000000000,
52401021030007,8.19,2,4.0950000000000000,
52401021030008,8.40,3,2.8000000000000000,
52401021030009,11.61,4,2.9025000000000000,2.4300000000000000
52401021030010,9.13,3,3.0433333333333333,
52401021030011,8.95,4,2.2375000000000000,
52401021030012,9.10,3,3.0333333333333333,3.1300000000000000
52401021030013,5.05,2,2.5250000000000000,
52401021030014,9.65,3,3.2166666666666667,
52401021030015,8.86,3,2.9533333333333333,
52401021030016,9.59,3,3.1966666666666667,
52401021030017,8.67,3,2.8900000000000000,
52401021030018,6.13,2,3.0650000000000000,
52401021030019,8.91,3,2.9700000000000000,
52401021030020,7.95,3,2.6500000000000000,
52401021030021,8.12,3,2.7066666666666667,2.7200000000000000
52401021030022,5.78,2,2.8900000000000000,
